Date,Plugins_Without_Jenkinsfile,Plugins_With_Java8,Plugins_Without_Java_Versions,Plugins_Using_JDK11,Plugins_Depends_On_Java_8,Plugins_With_JDK17,Plugins_With_JDK21,Plugins_With_JDK25
2025-08-10,565,429,527,184,1890,NaN,NaN,NaN
2025-08-11,565,429,527,184,1890,NaN,NaN,NaN
2025-08-12,565,428,526,184,1890,NaN,NaN,NaN
2025-08-13,565,428,526,184,1890,NaN,NaN,NaN
2025-08-14,565,428,526,184,1890,NaN,NaN,NaN
2025-08-17,565,428,526,184,1889,NaN,NaN,NaN
2025-08-18,564,428,526,184,1890,NaN,NaN,NaN
2025-08-19,565,428,526,184,1891,NaN,NaN,NaN
2025-08-20,565,428,526,184,1891,NaN,NaN,NaN
2025-08-27,565,428,526,182,1894,NaN,NaN,NaN
2025-09-03,564,428,525,182,1894,NaN,NaN,NaN
2025-09-07,563,429,526,182,1895,NaN,NaN,NaN
2025-09-08,563,428,525,183,1895,NaN,NaN,NaN
2025-09-09,563,428,525,183,1895,NaN,NaN,NaN
2025-09-10,563,428,525,183,1895,NaN,NaN,NaN
2025-09-14,563,428,525,182,1899,NaN,NaN,NaN
2025-09-15,563,428,525,182,1899,NaN,NaN,NaN
2025-09-16,563,428,525,182,1899,NaN,NaN,NaN
2025-09-17,563,428,525,182,1899,NaN,NaN,NaN
2025-09-24,562,428,525,182,1899,NaN,NaN,NaN
2025-09-25,562,428,525,182,1899,NaN,NaN,NaN
2025-09-27,562,428,525,182,1899,NaN,NaN,NaN
2025-09-28,562,428,525,182,1899,NaN,NaN,NaN
2025-09-29,562,428,525,182,1899,NaN,NaN,NaN
2025-10-01,562,428,525,181,1899,NaN,NaN,NaN
2025-10-02,562,428,525,181,1899,NaN,NaN,NaN
2025-10-08,561,428,525,181,1900,NaN,NaN,NaN
2025-10-09,561,428,525,181,1902,NaN,NaN,22
2025-10-10,561,428,525,181,1903,NaN,NaN,22
2025-10-11,561,428,525,181,1903,728,642,72
2025-10-12,561,428,525,181,1904,728,643,72
2025-10-13,561,428,525,181,1905,728,643,72
2025-10-14,561,428,525,181,1905,729,644,72
2025-10-15,561,428,525,181,1905,727,646,72
2025-10-16,561,428,525,181,1905,727,646,72
2025-10-17,561,428,525,181,1905,728,646,72
2025-10-18,561,428,525,181,1906,729,647,72
2025-10-19,561,428,525,181,1907,729,647,72
2025-10-20,561,428,525,181,1907,729,647,72
2025-10-21,561,428,525,181,1907,729,647,72
2025-10-22,561,428,525,181,1907,729,647,72
2025-10-23,561,428,525,181,1907,729,647,72
2025-10-24,561,428,525,181,1907,729,647,72
2025-10-25,561,428,525,180,1907,729,647,72
2025-10-26,561,428,525,180,1907,693,647,107
2025-10-27,561,436,533,180,1907,655,639,148
2025-10-28,560,436,533,180,1907,640,641,163
2025-10-29,561,437,534,180,1907,638,640,165
2025-10-30,561,437,535,180,1906,636,639,167
2025-10-31,560,437,535,180,1906,637,640,167
2025-11-01,560,437,535,179,1906,637,640,168
2025-11-02,560,437,535,179,1906,637,640,168
2025-11-03,560,437,535,179,1906,637,640,168
2025-11-04,560,436,534,179,1906,635,641,170
2025-11-05,560,436,534,178,1906,636,641,170
2025-11-06,560,436,534,178,1906,636,641,170
2025-11-07,560,436,534,178,1906,636,641,170
2025-11-08,560,435,534,178,1906,630,642,177
2025-11-09,560,435,534,178,1906,626,642,181
2025-11-10,560,435,534,178,1906,622,642,184
2025-11-11,560,435,533,178,1907,623,642,185
2025-11-12,560,435,533,177,1908,623,643,185
2025-11-13,558,435,533,176,1908,620,644,186
2025-11-14,560,434,532,176,1908,617,644,190
2025-11-15,560,434,532,176,1908,613,644,195
2025-11-16,560,434,532,175,1908,605,645,207
2025-11-17,560,435,533,175,1908,602,644,210
2025-11-18,560,435,533,175,1908,589,644,224
2025-11-19,560,435,533,174,1908,586,645,227
2025-11-20,560,435,533,174,1908,584,645,229
2025-11-21,560,435,533,174,1909,585,645,229
2025-11-22,560,435,533,174,1909,571,645,243
2025-11-23,560,435,533,174,1909,570,645,244
2025-11-24,560,435,533,174,1909,566,645,248
2025-11-25,560,435,533,174,1909,563,646,249
2025-11-26,560,435,533,174,1909,559,646,252
2025-11-27,560,435,533,174,1909,559,646,252
2025-11-28,560,435,533,174,1909,559,646,252
2025-11-29,560,434,532,173,1909,548,647,267
2025-11-30,413,126,155,79,955,547,648,269
2025-12-01,560,433,532,173,1909,544,648,272
2025-12-02,560,430,529,173,1909,541,651,275
2025-12-03,560,430,529,173,1909,541,651,275
2025-12-04,560,430,529,173,1910,537,652,280
2025-12-05,560,430,529,173,1910,536,652,281
2025-12-06,560,430,529,173,1910,536,652,281
2025-12-07,560,430,529,173,1910,535,652,281
2025-12-08,560,430,529,173,1910,535,652,281
2025-12-09,559,430,529,173,1910,535,653,282
2025-12-10,559,430,529,173,1910,535,653,282
2025-12-11,559,430,529,172,1910,533,653,284
2025-12-12,559,429,528,173,1910,533,653,284
2025-12-13,559,429,528,173,1910,533,653,284
2025-12-14,559,429,528,173,1910,533,653,284
2025-12-15,558,429,528,173,1910,532,653,285
2025-12-16,559,429,528,173,1911,531,654,286
2025-12-17,559,428,527,172,1911,530,656,286
2025-12-18,559,427,527,172,1910,527,655,288
2025-12-19,559,427,527,172,1911,528,657,289
2025-12-20,559,427,527,172,1911,528,656,290
2025-12-21,559,427,527,172,1912,528,657,291
2025-12-22,559,427,527,172,1912,526,658,292
2025-12-23,559,427,527,172,1912,526,658,292
2025-12-24,559,427,527,172,1912,525,657,292
2025-12-25,559,427,527,172,1912,526,658,292
2025-12-26,559,427,527,172,1912,526,658,292
2025-12-27,559,427,527,172,1912,525,658,293
2025-12-28,559,427,527,172,1912,523,658,295
2025-12-29,559,427,527,172,1912,522,659,297
2025-12-30,559,425,525,172,1912,523,660,297
2025-12-31,559,425,525,170,1912,523,661,298
2026-01-01,559,425,525,170,1912,520,661,301
2026-01-02,559,425,525,170,1912,518,661,303
2026-01-03,559,425,525,170,1912,517,661,304
2026-01-04,559,425,525,170,1912,476,661,304
2026-01-05,559,425,525,170,1912,469,661,309
2026-01-06,559,425,525,170,1912,457,664,320
2026-01-07,559,426,526,169,1912,457,664,320
2026-01-08,559,426,526,169,1912,456,664,320
2026-01-09,559,425,525,169,1912,452,665,323
2026-01-10,559,426,526,169,1912,452,665,323
2026-01-11,559,426,526,169,1913,451,666,325
2026-01-12,559,426,526,169,1913,449,666,327
2026-01-13,559,426,526,169,1913,449,666,327
2026-01-14,559,426,526,169,1913,447,666,328
2026-01-15,558,426,526,169,1914,447,668,330
2026-01-16,558,426,526,169,1914,446,668,331
2026-01-17,558,426,526,169,1914,446,668,331
2026-01-18,558,426,526,169,1914,445,669,331
2026-01-19,558,426,526,169,1914,439,671,331
2026-01-20,558,426,526,169,1914,438,671,331
2026-01-21,558,426,526,169,1915,439,672,331
2026-01-22,558,426,526,169,1915,439,672,331
2026-01-23,558,426,526,169,1915,437,672,334
2026-01-24,558,426,526,169,1915,438,672,334
2026-01-25,558,426,526,169,1915,438,672,334
2026-01-26,558,426,526,169,1915,438,672,334
2026-01-27,558,426,526,169,1915,438,672,334
2026-01-28,558,426,526,169,1915,438,672,334
2026-01-29,558,426,526,169,1916,438,673,335
2026-01-30,558,426,526,169,1916,438,673,335
2026-01-31,558,426,526,169,1916,441,673,335
2026-02-01,558,426,526,169,1916,441,673,336
2026-02-02,558,426,526,169,1916,440,673,337
2026-02-03,558,426,526,169,1916,440,673,178
2026-02-04,558,426,526,169,1916,440,674,338
2026-02-05,558,426,526,169,1917,440,674,338
2026-02-06,558,426,526,169,1917,440,674,338
2026-02-07,558,426,526,169,1917,439,675,338
2026-02-08,558,426,526,169,1917,439,675,338
2026-02-09,558,426,526,169,1917,439,675,338
2026-02-10,558,426,526,169,1917,439,676,339
2026-02-11,558,426,526,169,1918,439,676,339
2026-02-12,558,425,525,169,1918,439,676,339
2026-02-13,558,424,524,170,1917,439,677,340
2026-02-14,558,424,524,169,1918,440,677,340
2026-02-15,558,424,524,169,1918,440,677,340
2026-02-16,558,424,524,169,1918,439,676,340
2026-02-17,558,424,524,169,1918,439,677,341
2026-02-18,558,424,524,169,1918,439,677,179
