name,popularity
python,10389
azure-sdk,10288
build-token-root,10248
pipeline-github,10248
audit-trail,10126
cucumber-reports,9965
dependency-check-jenkins-plugin,9878
description-setter,9812
hashicorp-vault-plugin,9523
hidden-parameter,9291
pipeline-multibranch-defaults,9019
disk-usage,8837
promoted-builds,8682
jquery-ui,8678
file-operations,8471
next-build-number,8387
m2release,8293
plugin-usage-plugin,8257
flatpickr-api,8248
robot,8204
amazon-ecr,8141
ghprb,8121
validating-string-parameter,8093
file-parameters,8074
s3,7848
docker-build-publish,7767
parameter-separator,7643
atlassian-bitbucket-server-integration,7621
nested-view,7589
nexus-artifact-uploader,7585
test-results-analyzer,7575
testng-plugin,7531
configurationslicing,7491
git-changelog,7256
text-finder,7151
kubernetes-credentials-provider,7140
stashNotifier,7040
github-organization-folder,6979
strict-crumb-issuer,6957
permissive-script-security,6937
publish-over-ftp,6810
extra-columns,6772
delivery-pipeline-plugin,6703
oic-auth,6692
scriptler,6662
gerrit-trigger,6565
aws-java-sdk-cloudwatch,6442
swarm,6420
dingding-notifications,6408
pipeline-npm,6391
discard-old-build,6384
flexible-publish,6352
sidebar-link,6269
build-failure-analyzer,6256
gitlab-merge-request-jenkins,6214
skip-certificate-check,6104
p4,6043
emoji-symbols-api,6009
schedule-build,6008
startup-trigger-plugin,5935
azure-credentials,5926
azure-ad,5721
multibranch-scan-webhook-trigger,5640
ssh2easy,5628
sonar-quality-gates,5615
job-restrictions,5522
global-build-stats,5494
plot,5441
docker-compose-build-step,5380
login-theme,5351
versionnumber,5281
global-slack-notifier,5246
preSCMbuildstep,5166
pipeline-githubnotify-step,5152
jira-steps,5151
configuration-as-code-groovy,5128
golang,5105
bitbucket-push-and-pull-request,4896
build-environment,4884
gitlab-logo,4882
JDK_Parameter_Plugin,4822
folder-properties,4788
date-parameter,4776
xvfb,4746
google-login,4707
backup,4692
terraform,4688
docker-slaves,4580
mina-sshd-api-scp,4562
pyenv-pipeline,4521
junit-attachments,4512
PrioritySorter,4462
mstest,4460
nunit,4458
gitea,4436
database,4348
dependency-track,4347
list-git-branches-parameter,4296
bitbucket-build-status-notifier,4281
categorized-view,4221
purge-job-history,4220
persistent-parameter,4204
azure-commons,4203
git-push,4195
checkmarx,4062
support-core,4042
amazon-ecs,4001
xcode-plugin,3966
join,3959
customizable-header,3942
periodicbackup,3941
notification,3932
mail-watcher-plugin,3909
claim,3900
custom-tools-plugin,3895
dynamic_extended_choice_parameter,3888
adoptopenjdk,3869
pipeline-aggregator-view,3865
versioncolumn,3852
material-theme,3841
atlassian-jira-software-cloud,3801
jfrog,3735
managed-scripts,3681
gitee,3629
aws-global-configuration,3621
workflow-cps-global-lib-http,3607
purge-build-queue-plugin,3604
maven-info,3590
shiningpanda,3543
github-checks,3531
buildtriggerbadge,3530
bitbucket-pullrequest-builder,3505
sectioned-view,3489
aws-secrets-manager-credentials-provider,3472
maven-artifact-choicelistprovider,3472
kubernetes-pipeline-devops-steps,3459
publish-over-cifs,3453
opentelemetry-api,3389
xtrigger-api,3365
webhook-step,3335
folder-auth,3315
async-http-client,3285
repo,3281
artifactdeployer,3276
logstash,3272
hudson-wsclean-plugin,3230
next-executions,3186
scp,3186
influxdb,3172
jira-trigger,3165
qy-wechat-notification,3159
splunk-devops,3068
nvm-wrapper,3066
show-build-parameters,3020
email-ext-recipients-column,3008
hashicorp-vault-pipeline,3002
remote-file,3002
cors-filter,3001
datadog,2996
solarized-theme,2984
convert-to-pipeline,2951
gatling,2947
multibranch-build-strategy-extension,2934
ansible-tower,2925
bitbucket-oauth,2875
depgraph-view,2841
cppcheck,2839
quality-gates,2834
build-discarder,2830
clover,2793
environment-script,2772
repository-connector,2761
aws-java-sdk2-ecr,2742
last-changes,2662
pipeline-timeline,2655
maven-invoker-plugin,2638
dotnet-sdk,2626
snyk-security-scanner,2624
blueocean-executor-info,2621
miniorange-saml-sp,2618
openJDK-native-plugin,2569
blackduck-detect,2562
reverse-proxy-auth-plugin,2551
git-forensics,2506
xml-job-to-job-dsl,2506
byte-buddy-api,2495
project-description-setter,2495
artifact-manager-s3,2477
build-token-trigger,2421
cloudbees-credentials,2415
leastload,2407
zentimestamp,2389
github-autostatus,2381
downstream-buildview,2374
npm-yarn-wrapper-steps,2370
urltrigger,2359
release,2358
mstestrunner,2340
slave-setup,2326
ec2-fleet,2324
port-allocator,2324
cmakebuilder,2301
rich-text-publisher-plugin,2298
fstrigger,2296
docker-custom-build-environment,2278
cucumber-testresult-plugin,2277
matrix-combinations-parameter,2256
sbt,2252
github-pr-comment-build,2249
google-metadata-plugin,2236
mattermost,2230
shelve-project-plugin,2228
multi-branch-project-plugin,2200
opentelemetry,2188
nuget,2181
fail-the-build-plugin,2172
seleniumhtmlreport,2170
violations,2163
git-tag-message,2162
project-stats-plugin,2159
maven-metadata-plugin,2149
global-variable-string-parameter,2123
workflow-remote-loader,2123
openshift-client,2108
text-finder-run-condition,2095
cron_column,2091
people-view,2087
text-file-operations,2078
chucknorris,2076
ldapemail,2067
chromedriver,2064
calendar-view,2063
downstream-build-cache,2032
console-column-plugin,2028
google-chat-notification,2023
maven-dependency-update-trigger,2016
kpp-management-plugin,2003
junit-realtime-test-reporter,2002
browserstack-integration,1987
codedeploy,1981
violation-comments-to-gitlab,1960
jenkins-jira-issue-updater,1959
database-mysql,1933
unity3d-plugin,1932
fortify,1911
declarative-pipeline-migration-assistant-api,1908
vsphere-cloud,1904
google-play-android-publisher,1898
envfile,1895
compact-columns,1889
image-tag-parameter,1885
secondary-timestamper-plugin,1873
run-condition-extras,1868
slave-status,1862
build-metrics,1855
discord-notifier,1855
sonargraph-integration,1844
maven-repo-cleaner,1842
aws-lambda,1836
splunk-devops-extend,1829
xray-connector,1823
build-history-metrics-plugin,1812
yet-another-build-visualizer,1809
ez-templates,1806
buildresult-trigger,1798
filesystem-list-parameter-plugin,1783
clone-workspace-scm,1772
android-emulator,1771
keycloak,1764
svncompat14,1745
