Plugin,URL
Accurev Plugin,https://github.com/jenkinsci/accurev-plugin
Cppcheck Plugin,https://github.com/jenkinsci/cppcheck-plugin
Downstream Buildview Plugin,https://github.com/jenkinsci/downstream-buildview-plugin
Downstream Ext Plugin,https://github.com/jenkinsci/downstream-ext-plugin
Distfork Plugin,https://github.com/jenkinsci/distfork-plugin
Doclinks Plugin,https://github.com/jenkinsci/doclinks-plugin
Favorite View Plugin,https://github.com/jenkinsci/favorite-view-plugin
Envfile Plugin,https://github.com/jenkinsci/envfile-plugin
Doxygen Plugin,https://github.com/jenkinsci/doxygen-plugin
Jdepend Plugin,https://github.com/jenkinsci/jdepend-plugin
Maven Repo Cleaner Plugin,https://github.com/jenkinsci/maven-repo-cleaner-plugin
Libvirt Agent Plugin,https://github.com/jenkinsci/libvirt-agent-plugin
Nant Plugin,https://github.com/jenkinsci/nant-plugin
Release Plugin,https://github.com/jenkinsci/release-plugin
Agent Status Plugin,https://github.com/jenkinsci/agent-status-plugin
Sloccount Plugin,https://github.com/jenkinsci/sloccount-plugin
Lib Jenkins Maven Embedder,https://github.com/jenkinsci/lib-jenkins-maven-embedder
Extras Executable War,https://github.com/jenkinsci/extras-executable-war
Publish Over Ftp Plugin,https://github.com/jenkinsci/publish-over-ftp-plugin
Copy Project Link Plugin,https://github.com/jenkinsci/copy-project-link-plugin
Confluence Publisher Plugin,https://github.com/jenkinsci/confluence-publisher-plugin
Maven Interceptors,https://github.com/jenkinsci/maven-interceptors
Instance Identity Plugin,https://github.com/jenkinsci/instance-identity-plugin
Project Stats Plugin,https://github.com/jenkinsci/project-stats-plugin
Cloverphp Plugin,https://github.com/jenkinsci/cloverphp-plugin
Exclusion Plugin,https://github.com/jenkinsci/exclusion-plugin
Publish Over Cifs Plugin,https://github.com/jenkinsci/publish-over-cifs-plugin
Build Keeper Plugin,https://github.com/jenkinsci/build-keeper-plugin
Fail The Build Plugin,https://github.com/jenkinsci/fail-the-build-plugin
Jenkins Cloudformation Plugin,https://github.com/jenkinsci/jenkins-cloudformation-plugin
Progress Bar Column Plugin,https://github.com/jenkinsci/progress-bar-column-plugin
Purge Build Queue Plugin,https://github.com/jenkinsci/purge-build-queue-plugin
Crowd2 Plugin,https://github.com/jenkinsci/crowd2-plugin
Hsts Filter Plugin,https://github.com/jenkinsci/hsts-filter-plugin
Any Buildstep Plugin,https://github.com/jenkinsci/any-buildstep-plugin
Create Fingerprint Plugin,https://github.com/jenkinsci/create-fingerprint-plugin
Envinject Lib,https://github.com/jenkinsci/envinject-lib
Mstestrunner Plugin,https://github.com/jenkinsci/mstestrunner-plugin
Svn Revert Plugin,https://github.com/jenkinsci/svn-revert-plugin
Anything Goes Formatter Plugin,https://github.com/jenkinsci/anything-goes-formatter-plugin
Async Http Client Plugin,https://github.com/jenkinsci/async-http-client-plugin
Maven Metadata Plugin,https://github.com/jenkinsci/maven-metadata-plugin
Groovy Sandbox,https://github.com/jenkinsci/groovy-sandbox
Pam Auth Plugin,https://github.com/jenkinsci/pam-auth-plugin
Configure Job Column Plugin,https://github.com/jenkinsci/configure-job-column-plugin
