Plugin,URL
Buildrotator Plugin,https://github.com/jenkinsci/buildrotator-plugin
Ca Apm Plugin,https://github.com/jenkinsci/ca-apm-plugin
Ca Mat Performance Benchmarking By Broadcom Plugin,https://github.com/jenkinsci/ca-mat-performance-benchmarking-by-broadcom-plugin
Ca Service Virtualization Plugin,https://github.com/jenkinsci/ca-service-virtualization-plugin
Cantata Plugin,https://github.com/jenkinsci/cantata-plugin
Carbonetes Serverless Container Scanning And Policy Compliance Plugin,https://github.com/jenkinsci/carbonetes-serverless-container-scanning-and-policy-compliance-plugin
Cavisson Ns Nd Integration Plugin,https://github.com/jenkinsci/cavisson-ns-nd-integration-plugin
Changes Since Last Success Plugin,https://github.com/jenkinsci/changes-since-last-success-plugin
Chaos Butler Plugin,https://github.com/jenkinsci/chaos-butler-plugin
Chaos Monkey Plugin,https://github.com/jenkinsci/chaos-monkey-plugin
Chatter Notifier Plugin,https://github.com/jenkinsci/chatter-notifier-plugin
Chatwork Plugin,https://github.com/jenkinsci/chatwork-plugin
Checkstyle Plugin,https://github.com/jenkinsci/checkstyle-plugin
Chef Cookbook Pipeline Plugin,https://github.com/jenkinsci/chef-cookbook-pipeline-plugin
Chef Identity Plugin,https://github.com/jenkinsci/chef-identity-plugin
Clearcase Ucm Plugin,https://github.com/jenkinsci/clearcase-ucm-plugin
Cli Commander Plugin,https://github.com/jenkinsci/cli-commander-plugin
Cloudbees Devoptics Enabler Plugin,https://github.com/jenkinsci/cloudbees-devoptics-enabler-plugin
Cloudbees Feature Management Plugin,https://github.com/jenkinsci/cloudbees-feature-management-plugin
Cloudevents Plugin,https://github.com/jenkinsci/cloudevents-plugin
Cloudguard Shiftleft Plugin,https://github.com/jenkinsci/cloudguard-shiftleft-plugin
Cloudhub Deployer Plugin,https://github.com/jenkinsci/cloudhub-deployer-plugin
Cloudify Plugin,https://github.com/jenkinsci/cloudify-plugin
Cloudshell Sandbox Plugin,https://github.com/jenkinsci/cloudshell-sandbox-plugin
Cmakebuilder Plugin,https://github.com/jenkinsci/cmakebuilder-plugin
Cocoemma Plugin,https://github.com/jenkinsci/cocoemma-plugin
Codebuilder Cloud Plugin,https://github.com/jenkinsci/codebuilder-cloud-plugin
Codedx Plugin,https://github.com/jenkinsci/codedx-plugin
Codeql Plugin,https://github.com/jenkinsci/codeql-plugin
Codesonar Plugin,https://github.com/jenkinsci/codesonar-plugin
Commons Lang Api Plugin,https://github.com/jenkinsci/commons-lang-api-plugin
Compress Buildlog Plugin,https://github.com/jenkinsci/compress-buildlog-plugin
Compressed_files_viewer Plugin,https://github.com/jenkinsci/compressed_files_viewer-plugin
Computer Queue Plugin,https://github.com/jenkinsci/computer-queue-plugin
Compuware Topaz For Enterprise Data Plugin,https://github.com/jenkinsci/compuware-topaz-for-enterprise-data-plugin
Concurrent Step Plugin,https://github.com/jenkinsci/concurrent-step-plugin
Config Driven Pipeline Plugin,https://github.com/jenkinsci/config-driven-pipeline-plugin
Configuration As Code Secret Ssm Plugin,https://github.com/jenkinsci/configuration-as-code-secret-ssm-plugin
Conjur Simple Integration Plugin,https://github.com/jenkinsci/conjur-simple-integration-plugin
Cons3rt Plugin,https://github.com/jenkinsci/cons3rt-plugin
Console Navigation Plugin,https://github.com/jenkinsci/console-navigation-plugin
Consul Plugin,https://github.com/jenkinsci/consul-plugin
Content Replace Plugin,https://github.com/jenkinsci/content-replace-plugin
Conventional Commits Plugin,https://github.com/jenkinsci/conventional-commits-plugin
Convert To Pipeline Plugin,https://github.com/jenkinsci/convert-to-pipeline-plugin
Copy Build Log Plugin,https://github.com/jenkinsci/copy-build-log-plugin
Copy To Slave Plugin,https://github.com/jenkinsci/copy-to-slave-plugin
Cortex Metrics Plugin,https://github.com/jenkinsci/cortex-metrics-plugin
Couchdb Statistics Plugin,https://github.com/jenkinsci/couchdb-statistics-plugin
Countjobs Viewstabbar Plugin,https://github.com/jenkinsci/countjobs-viewstabbar-plugin
Cppncss Plugin,https://github.com/jenkinsci/cppncss-plugin
Create And Run Job Trigger Plugin,https://github.com/jenkinsci/create-and-run-job-trigger-plugin
Crx Content Package Deployer Plugin,https://github.com/jenkinsci/crx-content-package-deployer-plugin
Cryptomove Plugin,https://github.com/jenkinsci/cryptomove-plugin
Cucumber Living Documentation Plugin,https://github.com/jenkinsci/cucumber-living-documentation-plugin
Custom Build Properties Plugin,https://github.com/jenkinsci/custom-build-properties-plugin
Custom Checkbox Parameter Plugin,https://github.com/jenkinsci/custom-checkbox-parameter-plugin
Custom Tools Plugin,https://github.com/jenkinsci/custom-tools-plugin
Custom View Tabs Plugin,https://github.com/jenkinsci/custom-view-tabs-plugin
Cygpath Plugin,https://github.com/jenkinsci/cygpath-plugin
Cygwin Process Killer Plugin,https://github.com/jenkinsci/cygwin-process-killer-plugin
Dagshub Branch Source Plugin,https://github.com/jenkinsci/dagshub-branch-source-plugin
Datatheorem Mobile App Security Plugin,https://github.com/jenkinsci/datatheorem-mobile-app-security-plugin
Datetime Constraint Plugin,https://github.com/jenkinsci/datetime-constraint-plugin
Dbforge Devops Automation For Sqlserver Plugin,https://github.com/jenkinsci/dbforge-devops-automation-for-sqlserver-plugin
Declarative Pipeline When Conditions Plugin,https://github.com/jenkinsci/declarative-pipeline-when-conditions-plugin
Depbuilder Plugin,https://github.com/jenkinsci/depbuilder-plugin
Deploy Dashboard Plugin,https://github.com/jenkinsci/deploy-dashboard-plugin
Deploy Integrationserver Plugin,https://github.com/jenkinsci/deploy-integrationserver-plugin
Describe With Params Plugin,https://github.com/jenkinsci/describe-with-params-plugin
Description Column Plugin,https://github.com/jenkinsci/description-column-plugin
Diagnostics Plugin,https://github.com/jenkinsci/diagnostics-plugin
Digitalocean Plugin,https://github.com/jenkinsci/digitalocean-plugin
Dlisting Cov Plugin,https://github.com/jenkinsci/dlisting-cov-plugin
Docker Build Publish Plugin,https://github.com/jenkinsci/docker-build-publish-plugin
Docker Compose Build Step Plugin,https://github.com/jenkinsci/docker-compose-build-step-plugin
Docker Custom Build Environment Plugin,https://github.com/jenkinsci/docker-custom-build-environment-plugin
Docker Slaves Plugin,https://github.com/jenkinsci/docker-slaves-plugin
Dotcommonitor Loadview Plugin,https://github.com/jenkinsci/dotcommonitor-loadview-plugin
Dotnet As Script Plugin,https://github.com/jenkinsci/dotnet-as-script-plugin
Dry Plugin,https://github.com/jenkinsci/dry-plugin
Dtkit Plugin,https://github.com/jenkinsci/dtkit-plugin
