Plugin,URL
Gmaven,https://github.com/jenkinsci/gmaven
Core Js,https://github.com/jenkinsci/core-js
Jexl,https://github.com/jenkinsci/jexl
Netx,https://github.com/jenkinsci/netx
Svnkit,https://github.com/jenkinsci/svnkit
Xstream,https://github.com/jenkinsci/xstream
Htmlunit,https://github.com/jenkinsci/htmlunit
Dom4j,https://github.com/jenkinsci/dom4j
Jenkins.rb,https://github.com/jenkinsci/jenkins.rb
Hudson Gerrit Plugin,https://github.com/jenkinsci/Hudson-Gerrit-Plugin
Jmdns,https://github.com/jenkinsci/jmdns
Hudson Notifo Plugin,https://github.com/jenkinsci/hudson-notifo-plugin
Hudson Clearcase Plugin,https://github.com/jenkinsci/hudson-clearcase-plugin
Testbed Ant Sample,https://github.com/jenkinsci/testbed-ant-sample
Testbed Anttest Sample,https://github.com/jenkinsci/testbed-anttest-sample
Labmanager Plugin,https://github.com/jenkinsci/labmanager-plugin
Plugin BlekkoPanel,https://github.com/jenkinsci/plugin-blekkoPanel
WebSVN2 Plugin,https://github.com/jenkinsci/WebSVN2-plugin
Analysis Suite Plugin,https://github.com/jenkinsci/analysis-suite-plugin
Analysis Regression Checker Plugin,https://github.com/jenkinsci/analysis-regression-checker-plugin
VMWareLabManager Plugin,https://github.com/jenkinsci/VMWareLabManager-plugin
BlameSubversion Plugin,https://github.com/jenkinsci/BlameSubversion-plugin
URLSCM Plugin,https://github.com/jenkinsci/URLSCM-plugin
SCTMExecutor Plugin,https://github.com/jenkinsci/SCTMExecutor-plugin
Bamboo Notifier Plugin,https://github.com/jenkinsci/bamboo-notifier-plugin
Artifactory Plugin,https://github.com/jenkinsci/artifactory-plugin
Bruceschneier Plugin,https://github.com/jenkinsci/bruceschneier-plugin
Blame Upstream Commiters Plugin,https://github.com/jenkinsci/blame-upstream-commiters-plugin
Bazaar Plugin,https://github.com/jenkinsci/bazaar-plugin
Bitkeeper Plugin,https://github.com/jenkinsci/bitkeeper-plugin
Backup Plugin,https://github.com/jenkinsci/backup-plugin
Buggame Plugin,https://github.com/jenkinsci/buggame-plugin
Bugzilla Plugin,https://github.com/jenkinsci/bugzilla-plugin
Bulk Builder Plugin,https://github.com/jenkinsci/bulk-builder-plugin
Cas1 Plugin,https://github.com/jenkinsci/cas1-plugin
Campfire Plugin,https://github.com/jenkinsci/campfire-plugin
Caroline Plugin,https://github.com/jenkinsci/caroline-plugin
Ccm Plugin,https://github.com/jenkinsci/ccm-plugin
Cccc Plugin,https://github.com/jenkinsci/cccc-plugin
Changelog History Plugin,https://github.com/jenkinsci/changelog-history-plugin
Buckminster Plugin,https://github.com/jenkinsci/buckminster-plugin
Cifs Plugin,https://github.com/jenkinsci/cifs-plugin
Clearcase Release Plugin,https://github.com/jenkinsci/clearcase-release-plugin
Codeplex Plugin,https://github.com/jenkinsci/codeplex-plugin
Cmvc Plugin,https://github.com/jenkinsci/cmvc-plugin
Codescanner Plugin,https://github.com/jenkinsci/codescanner-plugin
Clearcase Ucm Baseline Plugin,https://github.com/jenkinsci/clearcase-ucm-baseline-plugin
Conditional Upstream Trigger Plugin,https://github.com/jenkinsci/conditional-upstream-trigger-plugin
Concordionpresenter Plugin,https://github.com/jenkinsci/concordionpresenter-plugin
Codeviation Plugin,https://github.com/jenkinsci/codeviation-plugin
Copyarchiver Plugin,https://github.com/jenkinsci/copyarchiver-plugin
Covcomplplot Plugin,https://github.com/jenkinsci/covcomplplot-plugin
Hudson Coverage Plugin,https://github.com/jenkinsci/hudson-coverage-plugin
Collabnet Plugin,https://github.com/jenkinsci/collabnet-plugin
Culprit Report Plugin,https://github.com/jenkinsci/culprit-report-plugin
Crowd Plugin,https://github.com/jenkinsci/crowd-plugin
Cpptest Plugin,https://github.com/jenkinsci/cpptest-plugin
DbCharts Plugin,https://github.com/jenkinsci/dbCharts-plugin
Dimensions Plugin,https://github.com/jenkinsci/dimensions-plugin
Deploy Websphere Plugin,https://github.com/jenkinsci/deploy-websphere-plugin
Crap4j Plugin,https://github.com/jenkinsci/crap4j-plugin
DistTest Plugin,https://github.com/jenkinsci/distTest-plugin
Cvs Tag Plugin,https://github.com/jenkinsci/cvs-tag-plugin
Dependency Analyzer Plugin,https://github.com/jenkinsci/dependency-analyzer-plugin
Dos Trigger Plugin,https://github.com/jenkinsci/dos-trigger-plugin
Cppunit Plugin,https://github.com/jenkinsci/cppunit-plugin
Drools Plugin,https://github.com/jenkinsci/drools-plugin
Exclusive Execution Plugin,https://github.com/jenkinsci/exclusive-execution-plugin
Easyant Plugin,https://github.com/jenkinsci/easyant-plugin
Clearcase Plugin,https://github.com/jenkinsci/clearcase-plugin
Emotional Hudson Plugin,https://github.com/jenkinsci/emotional-hudson-plugin
Files Found Trigger Plugin,https://github.com/jenkinsci/files-found-trigger-plugin
Gcrawler Plugin,https://github.com/jenkinsci/gcrawler-plugin
Flexteam Plugin,https://github.com/jenkinsci/flexteam-plugin
Fit Plugin,https://github.com/jenkinsci/fit-plugin
Google Desktop Gadget Plugin,https://github.com/jenkinsci/google-desktop-gadget-plugin
Gant Plugin,https://github.com/jenkinsci/gant-plugin
Fortify360 Plugin,https://github.com/jenkinsci/fortify360-plugin
Ftppublisher Plugin,https://github.com/jenkinsci/ftppublisher-plugin
Gcal Plugin,https://github.com/jenkinsci/gcal-plugin
Gallio Plugin,https://github.com/jenkinsci/gallio-plugin
Googleanalytics Plugin,https://github.com/jenkinsci/googleanalytics-plugin
Heavy Job Plugin,https://github.com/jenkinsci/heavy-job-plugin
Growl Plugin,https://github.com/jenkinsci/growl-plugin
Grinder Plugin,https://github.com/jenkinsci/grinder-plugin
Gnat Plugin,https://github.com/jenkinsci/gnat-plugin
Harvest Plugin,https://github.com/jenkinsci/harvest-plugin
Googlecode Plugin,https://github.com/jenkinsci/googlecode-plugin
Iphoneview Plugin,https://github.com/jenkinsci/iphoneview-plugin
Grails Plugin,https://github.com/jenkinsci/grails-plugin
Hgca Plugin,https://github.com/jenkinsci/hgca-plugin
Ipmsg Plugin,https://github.com/jenkinsci/ipmsg-plugin
Hadoop Plugin,https://github.com/jenkinsci/hadoop-plugin
Hello World Plugin,https://github.com/jenkinsci/hello-world-plugin
Hello World Groovy Plugin,https://github.com/jenkinsci/hello-world-groovy-plugin
Instant Messaging Parent Plugin,https://github.com/jenkinsci/instant-messaging-parent-plugin
Jira Issues Versioning Plugin,https://github.com/jenkinsci/jira-issues-versioning-plugin
Javanet Realm Plugin,https://github.com/jenkinsci/javanet-realm-plugin
Jboss Plugin,https://github.com/jenkinsci/jboss-plugin
Javanet Trigger Installer Plugin,https://github.com/jenkinsci/javanet-trigger-installer-plugin
Javancss Plugin,https://github.com/jenkinsci/javancss-plugin
Japex Plugin,https://github.com/jenkinsci/japex-plugin
Jmx Invoker Plugin,https://github.com/jenkinsci/jmx-invoker-plugin
Jobinjector Plugin,https://github.com/jenkinsci/jobinjector-plugin
Jmx Plugin,https://github.com/jenkinsci/jmx-plugin
Javanet Uploader Plugin,https://github.com/jenkinsci/javanet-uploader-plugin
Job Exporter Plugin,https://github.com/jenkinsci/job-exporter-plugin
Jobrevision Plugin,https://github.com/jenkinsci/jobrevision-plugin
Jsgames Plugin,https://github.com/jenkinsci/jsgames-plugin
Javanet Plugin,https://github.com/jenkinsci/javanet-plugin
Jprt Plugin,https://github.com/jenkinsci/jprt-plugin
Jython Plugin,https://github.com/jenkinsci/jython-plugin
Jswidgets Plugin,https://github.com/jenkinsci/jswidgets-plugin
Join Plugin,https://github.com/jenkinsci/join-plugin
Jwsdp Sqe Plugin,https://github.com/jenkinsci/jwsdp-sqe-plugin
