Plugin,Repository,URL,Has_Open_JDK25_PRs,Open_PRs_Count,Open_PR_Numbers,Open_PR_URLs,Has_Jenkinsfile
Dark Theme Plugin,jenkinsci/dark-theme-plugin,https://github.com/jenkinsci/dark-theme-plugin,false,0,"","",true
Dashboard View Plugin,jenkinsci/dashboard-view-plugin,https://github.com/jenkinsci/dashboard-view-plugin,false,0,"","",true
Data Tables Api Plugin,jenkinsci/data-tables-api-plugin,https://github.com/jenkinsci/data-tables-api-plugin,false,0,"","",true
Display Url Api Plugin,jenkinsci/display-url-api-plugin,https://github.com/jenkinsci/display-url-api-plugin,false,0,"","",true
Docker Commons Plugin,jenkinsci/docker-commons-plugin,https://github.com/jenkinsci/docker-commons-plugin,false,0,"","",true
Docker Java Api Plugin,jenkinsci/docker-java-api-plugin,https://github.com/jenkinsci/docker-java-api-plugin,false,0,"","",true
Docker Plugin,jenkinsci/docker-plugin,https://github.com/jenkinsci/docker-plugin,false,0,"","",true
Docker Workflow Plugin,jenkinsci/docker-workflow-plugin,https://github.com/jenkinsci/docker-workflow-plugin,false,0,"","",true
Durable Task Plugin,jenkinsci/durable-task-plugin,https://github.com/jenkinsci/durable-task-plugin,false,0,"","",true
Echarts Api Plugin,jenkinsci/echarts-api-plugin,https://github.com/jenkinsci/echarts-api-plugin,false,0,"","",true
Eddsa Api Plugin,jenkinsci/eddsa-api-plugin,https://github.com/jenkinsci/eddsa-api-plugin,false,0,"","",true
Email Ext Plugin,jenkinsci/email-ext-plugin,https://github.com/jenkinsci/email-ext-plugin,false,0,"","",true
Emailext Template Plugin,jenkinsci/emailext-template-plugin,https://github.com/jenkinsci/emailext-template-plugin,false,0,"","",true
Envinject Api Plugin,jenkinsci/envinject-api-plugin,https://github.com/jenkinsci/envinject-api-plugin,false,0,"","",true
Envinject Plugin,jenkinsci/envinject-plugin,https://github.com/jenkinsci/envinject-plugin,false,0,"","",true
Extended Choice Parameter Plugin,jenkinsci/extended-choice-parameter-plugin,https://github.com/jenkinsci/extended-choice-parameter-plugin,false,0,"","",true
