Plugin,URL
Accelerated Build Now Plugin,https://github.com/jenkinsci/accelerated-build-now-plugin
Activiti Explorer Plugin,https://github.com/jenkinsci/activiti-explorer-plugin
Advanced Installer Msi Builder Plugin,https://github.com/jenkinsci/advanced-installer-msi-builder-plugin
Agile Cockpit Notification Plugin,https://github.com/jenkinsci/agile-cockpit-notification-plugin
Ajax List View Plugin,https://github.com/jenkinsci/ajax-list-view-plugin
Allure Plugin,https://github.com/jenkinsci/allure-plugin
Almasw Modbuilder Plugin,https://github.com/jenkinsci/almasw-modbuilder-plugin
Analysis Config Plugin,https://github.com/jenkinsci/analysis-config-plugin
Analysis Regression Checker Plugin,https://github.com/jenkinsci/analysis-regression-checker-plugin
Analysis Runner,https://github.com/jenkinsci/analysis-runner
Analysis Suite Plugin,https://github.com/jenkinsci/analysis-suite-plugin
Anchor Chain Plugin,https://github.com/jenkinsci/anchor-chain-plugin
Anonymous Token Root Plugin,https://github.com/jenkinsci/anonymous-token-root-plugin
Ant Interceptor,https://github.com/jenkinsci/ant-interceptor
Ant Spy,https://github.com/jenkinsci/ant-spy
Apica Loadtest Plugin,https://github.com/jenkinsci/apica-loadtest-plugin
App.io Plugin,https://github.com/jenkinsci/app.io-plugin
Appaloosa Plugin,https://github.com/jenkinsci/appaloosa-plugin
Appetize Plugin,https://github.com/jenkinsci/appetize-plugin
Application Director Plugin,https://github.com/jenkinsci/application-director-plugin
Appspider Build Scanner Plugin,https://github.com/jenkinsci/appspider-build-scanner-plugin
Appthwack Plugin,https://github.com/jenkinsci/appthwack-plugin
Arbitrary Parameters Plugin,https://github.com/jenkinsci/arbitrary-parameters-plugin
Archive Files Scm Plugin,https://github.com/jenkinsci/archive-files-scm-plugin
Archived Artifact Url Viewer Plugin,https://github.com/jenkinsci/archived-artifact-url-viewer-plugin
Artifact Parameter Plugin,https://github.com/jenkinsci/artifact-parameter-plugin
Artifactory Plugin,https://github.com/jenkinsci/artifactory-plugin
Asakusa Satellite Plugin,https://github.com/jenkinsci/asakusa-satellite-plugin
Assembla Plugin,https://github.com/jenkinsci/assembla-plugin
Associated Files Plugin,https://github.com/jenkinsci/associated-files-plugin
Async Job Plugin,https://github.com/jenkinsci/async-job-plugin
Audit2db Plugin,https://github.com/jenkinsci/audit2db-plugin
Aws Lambda Plugin,https://github.com/jenkinsci/aws-lambda-plugin
Awseb Deployment Plugin,https://github.com/jenkinsci/awseb-deployment-plugin
Azure Slave Plugin,https://github.com/jenkinsci/azure-slave-plugin
Backend Crowd Javanet Directory,https://github.com/jenkinsci/backend-crowd-javanet-directory
Backend Deprecation Checker,https://github.com/jenkinsci/backend-deprecation-checker
Backend Donation Thankyou,https://github.com/jenkinsci/backend-donation-thankyou
Backend Git Pushf Finder,https://github.com/jenkinsci/backend-git-pushf-finder
Backend Github Event Collector,https://github.com/jenkinsci/backend-github-event-collector
Backend Github Repository List,https://github.com/jenkinsci/backend-github-repository-list
Backend Goto App,https://github.com/jenkinsci/backend-goto-app
Backend Jenkins Ci Cloudbees Com Filler,https://github.com/jenkinsci/backend-jenkins-ci-cloudbees-com-filler
Backend Jenkins Plugin Changes Plugin,https://github.com/jenkinsci/backend-jenkins-plugin-changes-plugin
Backend Jira Versions,https://github.com/jenkinsci/backend-jira-versions
Backend Jpi Create,https://github.com/jenkinsci/backend-jpi-create
Backend L10n Applier,https://github.com/jenkinsci/backend-l10n-applier
Backend List Pending Pull Requests,https://github.com/jenkinsci/backend-list-pending-pull-requests
Backend Plugin Report Card,https://github.com/jenkinsci/backend-plugin-report-card
Backend Plugin2rpm,https://github.com/jenkinsci/backend-plugin2rpm
Backend Pull Request Greeter,https://github.com/jenkinsci/backend-pull-request-greeter
Backend Recipe Submission App,https://github.com/jenkinsci/backend-recipe-submission-app
Backend Update Center,https://github.com/jenkinsci/backend-update-center
Backend War Size Tracker,https://github.com/jenkinsci/backend-war-size-tracker
Backup Plugin,https://github.com/jenkinsci/backup-plugin
