Plugin,Repository,URL,Has_JDK17,Has_JDK21,Has_JDK25,Jenkinsfile_URL,Has_Jenkinsfile
Alauda Kubernetes Support Plugin,jenkinsci/alauda-kubernetes-support-plugin,https://github.com/jenkinsci/alauda-kubernetes-support-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/alauda-kubernetes-support-plugin/master/Jenkinsfile,true
Alauda Pipeline Plugin,jenkinsci/alauda-pipeline-plugin,https://github.com/jenkinsci/alauda-pipeline-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/alauda-pipeline-plugin/master/Jenkinsfile,true
Alibabacloud Credentials Plugin,jenkinsci/alibabacloud-credentials-plugin,https://github.com/jenkinsci/alibabacloud-credentials-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/alibabacloud-credentials-plugin/master/Jenkinsfile,true
Alibabacloud Ecs Plugin,jenkinsci/alibabacloud-ecs-plugin,https://github.com/jenkinsci/alibabacloud-ecs-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/alibabacloud-ecs-plugin/master/Jenkinsfile,true
Alibabacloud Edas Plugin,jenkinsci/alibabacloud-edas-plugin,https://github.com/jenkinsci/alibabacloud-edas-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/alibabacloud-edas-plugin/master/Jenkinsfile,true
Alibabacloud Pkg Deployment Plugin,jenkinsci/alibabacloud-pkg-deployment-plugin,https://github.com/jenkinsci/alibabacloud-pkg-deployment-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/alibabacloud-pkg-deployment-plugin/master/Jenkinsfile,true
Aliyun Oss Uploader Plugin,jenkinsci/aliyun-oss-uploader-plugin,https://github.com/jenkinsci/aliyun-oss-uploader-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/aliyun-oss-uploader-plugin/master/Jenkinsfile,true
All Changes Plugin,jenkinsci/all-changes-plugin,https://github.com/jenkinsci/all-changes-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/all-changes-plugin/master/Jenkinsfile,true
Allure Plugin,jenkinsci/allure-plugin,https://github.com/jenkinsci/allure-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/allure-plugin/master/Jenkinsfile,false
Amazon Ecr Plugin,jenkinsci/amazon-ecr-plugin,https://github.com/jenkinsci/amazon-ecr-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/amazon-ecr-plugin/main/Jenkinsfile,true
